name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"Copal","Ritual / Visionary","Not well documented","Resin from Bursera trees burned ceremonially to purify and induce trance.","Not well documented","Unknown","Purifying;sacred aroma;trance enhancement","copal","Mild","Legal / Unregulated","Unknown","5-20 min","Not well documented","Burned as incense","🌐 Global / Ritual","Unknown","Not well documented","✅ safe;🔮 ritual;🕯️ ritual","Not well documented","Unknown","Unknown",,"","copal",,,,,"1",,,,
"Corydalis yanhusuo","Sedative / Analgesic","Pregnancy, liver disease, large doses","Tubers of this Asian herb provide notable pain relief and a tranquil state when used as tea or pills.","May potentiate sedatives or dopaminergic drugs","3–5 h","analgesia;relaxation;subtle dreaminess","corydalis-yanhusuo","Moderate","Legal","Alkaloids such as tetrahydropalmatine act on dopamine and GABA receptors","20–40 min","Onset 20–40 min orally, lasting 3–5 h","Rhizome taken in decoctions or powdered extracts","China and East Asia","Corydalis yanhusuo","Drowsiness, dizziness","tcm;dopamine;pain relief","Traditional Chinese remedy for pain and insomnia","Overuse may cause liver stress",">1 g/kg in rodents",,"","corydalis-yanhusuo",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4046635/;Journal of Pain Research, 2013;Pharmacopoeia of the People’s Republic of China","false",,,,"Yanhusuo","Tetrahydropalmatine (THP)","Used in Traditional Chinese Medicine for pain and sleep."
"Crataegus monogyna","Cardiovascular / Tonic / Nervine","Caution with digitalis drugs or other cardiac medications. Monitor blood pressure closely.","A thorny shrub known for its small red berries and heart-boosting properties. Used in European herbalism for centuries to support circulation, reduce anxiety, and tone the cardiovascular system.","May potentiate beta-blockers or ACE inhibitors. Avoid with nitrates without supervision.",,"Heart tonic;Circulation support;Anxiolytic;Antioxidant","crataegus-monogyna","Mild","Legal","Rich in flavonoids and proanthocyanidins. Improves coronary blood flow, reduces vascular resistance, and has mild ACE-inhibiting properties. Antioxidant effects may protect endothelial tissue.","Cumulative over days–weeks","Orally active. Effects develop over days to weeks with regular use. Often taken long-term.","Berries, leaves, and flowers brewed as tea or used in tinctures. Capsules also available.","Europe, North Africa, West Asia","Crataegus monogyna","Very rare. Possible dizziness or nausea in high doses.","❤️ Heart tonic;🍒 Berry;🌿 Nervine","Used for mild heart failure, high blood pressure, arrhythmia, anxiety, and fatigue. May improve exercise tolerance in cardiovascular conditions.","Very low. Considered safe in standard dosing.",">3000 mg/kg (rats, oral)",,,"crataegus-monogyna",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3249903/;ESC Guidelines on Hawthorn, 2019;Herbal Medicine Monographs – WHO","false",,,,,,
"Crocus sativus","Nootropic / Mood Enhancer / Culinary","Avoid in pregnancy or with strong antidepressants unless supervised.","The world’s most expensive spice, saffron has been used for thousands of years in cooking, medicine, and ritual. Its stigma threads contain compounds that brighten mood, enhance cognition, and protect neural function.","Possible synergistic effects with SSRIs, MAOIs, or sedatives.",,"Euphoria;Antidepressant;Cognitive support;Visual clarity","crocus-sativus","Mild–Moderate","Legal","Contains crocin, safranal, and picrocrocin. These modulate serotonin, dopamine, and GABA signaling. Also antioxidant and anti-inflammatory.","30–90 min (oral)","Orally active. Peak blood levels reached within ~1–2 hours. Active in very small doses (15–30 mg).","Stigmas dried and steeped in warm water, milk, or oil. Used in culinary, tinctures, and capsules.","Iran, India (Kashmir), Greece, Spain","Crocus sativus","Rare. High doses may cause nausea, dizziness, or uterine stimulation.","🌼 Mood-lifting;🧠 Nootropic;🧘 Calm focus;💊 SSRI-like","Used for depression, PMS, cognitive decline, and visual fatigue. Studies show efficacy comparable to SSRIs at low doses.","Low at standard doses; high doses (>5g) may be toxic.","Crocetin LD50: ~2000 mg/kg (mice, oral)",,,"crocus-sativus",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4431160/;Phytotherapy Research, 2016;Traditional Persian Medicine – Avicenna Canon","false",,,,,,
"Turmeric","Anti-inflammatory / Adaptogen / Culinary","Caution with gallstones, bleeding disorders, or blood thinners.","A golden root revered in Ayurveda and Traditional Chinese Medicine. Curcumin, its key compound, fights inflammation, supports liver health, and improves brain function. Used widely in cooking, teas, and supplements.","Interacts with anticoagulants, NSAIDs, and some chemotherapeutics.",,"Anti-inflammatory;Antioxidant;Liver tonic;Joint pain relief","curcuma-longa","Mild","Legal worldwide","Curcumin inhibits COX-2 and NF-κB, reduces pro-inflammatory cytokines, and modulates glutathione and serotonin levels. Bioavailability enhanced with black pepper (piperine).","Cumulative (anti-inflammatory); mild warming in 30–60 min","Orally absorbed poorly unless combined with fat or piperine. Bioavailability varies widely by formulation.","Root dried and powdered into spice or capsules. Often consumed in golden milk, teas, or turmeric paste.","India, Southeast Asia","Curcuma longa","May cause stomach upset in high doses. Risk of gallbladder contraction or bleeding at large doses.","💛 Anti-inflammatory;🧠 Brain support;🍛 Culinary adaptogen","Used for arthritis, inflammation, liver detox, depression, cognitive decline, metabolic syndrome, and gut repair.","Very low. Doses up to 8g/day studied safely.",">2000 mg/kg (rats, oral)",,,"curcuma-longa",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5664031/;Ayurvedic Pharmacopoeia of India;Journal of Alternative and Complementary Medicine, 2015","false",,,,,,
"Cyperus articulatus","Ritual / Visionary","Unknown","Known as Piripiri or Guinea Rush, this sedge is used in Afro-Caribbean and Amazonian rituals for mild visionary states and spiritual grounding.","Unknown","2–5 hrs","Calm;focus;light trance","cyperus-articulatus","Mild","Legal","Unknown; may involve sesquiterpenes","20–40 min","Onset: 20–40 min; Duration: 2–5 hrs","Rhizome decoction or powder","Africa, Caribbean, Amazon","Cyperus articulatus","Rare; mild sedation","✅ safe;🌿 piripiri;🧘 ritual","Spiritual clarity, dream work, digestion","Low","Not established",,"","cyperus-articulatus",,,,,,,,,
"Cytisus scoparius","Stimulant / Toxic / Cardiovascular","Do not use during pregnancy, in heart conditions, or with MAOIs or stimulants.","A yellow-flowered shrub traditionally used as a cardiac stimulant and diuretic. Contains sparteine, a toxic alkaloid with stimulant and hallucinogenic potential in high doses. Use with caution — pharmacologically active but potentially dangerous.","May dangerously interact with antiarrhythmics, MAOIs, and cardiac medications.",,"Cardiac stimulation;Diuretic;Mood elevation;Mild hallucinations (high dose)","cytisus-scoparius","Moderate to Strong (dose-dependent)","Legal in most countries but discouraged or regulated in herbal supplements","Sparteine acts on cardiac sodium channels and can influence rhythm and contractility. Also modulates adrenergic and muscarinic pathways.","30–60 min","Active orally; sparteine is rapidly absorbed and metabolized hepatically. Narrow therapeutic window.","Flowering tops or twigs brewed as tea (low dose) or tinctured. Rarely used today due to safety risks.","Europe, North America (naturalized)","Cytisus scoparius","Tachycardia, nausea, dizziness, visual disturbances, and convulsions in overdose. Narrow margin of safety.","⚠️ Toxic;❤️ Heart-active;🌾 Witch lore","Used historically for arrhythmias, edema, and as a uterine tonic. Some traditional European accounts suggest mild trance-like states at high doses.","High. Sparteine is cardiotoxic at moderate to high doses.","Sparteine est. ~50 mg/kg (rats, oral)",,,"cytisus-scoparius",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3920503/;Traditional Herbal Medicines in Europe – ESCOP;Botanical Safety Handbook – 2nd Ed.","false",,,,,,
"Damiana","Empathogen / Euphoriant","Pregnancy, urinary tract conditions","Used traditionally in Mexico and Central America for libido, relaxation, and mild stimulation. Sometimes blended in herbal smoking mixes.","May interact with blood sugar meds","2–4 hrs","Mood boost;aphrodisiac;relaxation","damiana","Mild","Legal","May modulate serotonin and GABA; unclear primary target","20–40 min","Onset: 20–40 min; Duration: 2–4 hrs","Tea, tincture, smoking blends","Mexico, Texas, Central America","Turnera diffusa","Mild headaches or GI discomfort","✅ safe;🔥 aphrodisiac;😊 mood","Libido, nervous system support, mild stimulant","Low","Not well established",,"","damiana",,,,"https://upload.wikimedia.org/wikipedia/commons/b/b4/Turnera_diffusa_flower.jpg",,,,,
"Datura inoxia","Deliriant / Toxic / Visionary","Unsafe in all doses without expert guidance. Never combine with other CNS depressants or anticholinergics.","A night-blooming white-flowered species of Datura, known for its powerful deliriant and anticholinergic properties. Used in shamanic rituals in Mesoamerica, but also responsible for many poisonings due to its unpredictability.","Severe interactions with antipsychotics, antihistamines, MAOIs, and alcohol.",,"Intense delirium;Anticholinergic trance;Hallucinations;Amnesia","datura-inoxia","Extreme","Legal to grow ornamentally; restricted in some countries for psychoactive use","Contains tropane alkaloids (scopolamine, hyoscyamine, atropine) that block muscarinic acetylcholine receptors, leading to hallucinations, confusion, and autonomic dysfunction.","30–90 min (oral)","Orally or transdermally absorbed. Effects begin within 30–120 minutes and can last 8–36 hours. Extremely variable potency.","Flowers, seeds, or leaves sometimes smoked or infused in folk practices — but strongly discouraged. Historical use in ointments and 'flying salves'.","Southwestern US, Mexico, Central America","Datura inoxia","Severe dry mouth, vision loss, fever, urinary retention, paranoia, terrifying hallucinations, and death in overdose.","🌙 Deliriant;🌀 Dangerous;🌿 Shamanic;⚠️ Visionary plant","Traditionally used in extremely small doses for asthma, pain, or divination. Modern use is rare and discouraged due to risk.","Very high. One seed or leaf may be lethal.","Scopolamine LD50: ~300 mg/kg (mice, oral)",,,"datura-inoxia",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1318951/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology, 1994","false",,,,,,
"Datura metel",,,,,,"hallucinogenic;deliriant;anticholinergic","datura-metel",,"Unknown","Antagonist of muscarinic acetylcholine receptors",,,,"Asia, Africa",,,"hallucinogen;deliriant;toxic",,,,,,"datura-metel",,,,,,,"Devil's Trumpet;Metel","Scopolamine;Atropine","Used in rituals but also associated with danger and toxicity."
"Derris elliptica","Insecticide / Ethnobotanical / Toxic","Unsafe for human consumption. Do not ingest or inhale powdered forms.","A tropical vine traditionally used as a natural fish poison. Contains rotenone, a potent neurotoxin that disrupts mitochondrial respiration. Used in agriculture but dangerous to humans in concentrated doses.","N/A – not used internally.",,"Paralysis (insects/fish);Mild euphoria (folklore);Toxicity","derris-elliptica","Severe (if ingested)","Restricted or banned in many regions","Rotenone inhibits NADH dehydrogenase in the electron transport chain, disrupting ATP production and causing cellular hypoxia.","Rapid (minutes)","Absorbed via GI tract or mucosa. Metabolized in liver; highly toxic in mammals.","Crushed root used to stun fish in streams (traditional method). Modern rotenone extracts banned in some countries.","Southeast Asia, Pacific Islands","Derris elliptica","Nausea, vomiting, respiratory depression, muscle paralysis. Long-term rotenone exposure linked to Parkinson’s-like symptoms.","⚠️ Toxic;🌊 Ethnobotany;🐟 Fish poison;🧬 Mitochondrial disruptor","No modern internal medical uses. Occasionally used externally in veterinary or agricultural settings.","Very high. Rotenone has been used in rodenticides and insecticides.","Rotenone ~132 mg/kg (rats, oral)",,,"derris-elliptica",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1241859/;WHO Pesticide Evaluation Report – Rotenone;Traditional Plant Lore of Southeast Asia – 2010","false",,,,,,
"Desfontainia spinosa","Ritual / Visionary","Mental illness, cardiovascular risk, pregnancy","A rare South American shrub used by the Mapuche and other indigenous groups in Chile and Colombia as a ritual intoxicant. Known for unpredictable and potent effects.","Unknown; avoid CNS drugs","3–6 hrs","Hallucinations;disorientation;dreamlike state","desfontainia-spinosa","Strong","Legal but obscure","Unknown; possibly tropane alkaloid activity or diterpenes","30–90 min","Onset: 30–90 min; Duration: 3–6 hrs","Infusion of leaves or berries; sometimes smoked","Chile, Colombia, Andes","Desfontainia spinosa","Strong nausea, confusion, pupil dilation","⚠️ rare;🌿 andes;🧠 vision","Traditional visionary plant; not clinically established","Potentially high at ritual doses","Not established",,"","desfontainia-spinosa",,,,,,,"Chilean holly;Taique","Desfontainin","Used by Mapuche shamans in ritual ceremonies."
"Desmanthus illinoensis","Ritual / Visionary","Mental health issues, MAOI or SSRI medication","Also called Illinois Bundleflower; its root bark contains notable amounts of DMT.","Dangerous with MAOIs or serotonergic drugs","15 min – 6 h","visual enhancements;introspection;altered perception","desmanthus-illinoensis","Strong","DMT restricted in many countries","Root bark contains DMT; usually combined with MAOIs to be active orally","2–45 min depending on route","Smoked onset 2–3 min; oral with MAOI onset 20–45 min; duration up to 6 h","Root bark powdered for extraction or brewed with MAOI plant","Central and southern United States","Desmanthus illinoensis","Nausea, anxiety, powerful visions","american;dmt;root","Used in underground ayahuasca analogs for spiritual exploration","Low physiological, high psychological risk","Not established",,"","desmanthus-illinoensis",,,,,,,,,
"Desmodium adscendens",,,,,,"bronchodilator;liver support;anti-allergic","desmodium-adscendens",,"Unknown","Smooth muscle relaxation and anti-inflammatory flavonoid activity",,,,"West Africa, South America",,,"bronchodilator;folk;detox",,,,,,"desmodium-adscendens",,,,,,,"Desmodium;Amor Seco","Desmodin;Astragalin","Used to treat asthma, allergies, and liver issues in folk medicine."
"Desmodium gangeticum","Ayurvedic / Tonic / Anti-inflammatory","None known. Traditionally safe even in pediatrics.","An Ayurvedic herb used in Dashamoola and other classical formulas. Known for its rejuvenating, nervine, and anti-inflammatory actions, Salparni is often used for Vata balancing and in convalescence.","May mildly potentiate immune-modulators or anti-inflammatories.",,"Nervine support;Anti-inflammatory;Rejuvenation;Mild sedation","desmodium-gangeticum","Mild","Legal worldwide","Contains alkaloids (gangetin), flavonoids, and isoflavones with CNS modulating and antioxidant properties. Shows immunomodulatory and anti-inflammatory effects.","Cumulative (days–weeks)","Orally absorbed in decoction or powder. Cumulative effect over weeks for chronic ailments.","Root and aerial parts decocted, powdered, or used in classical polyherbal formulations like Dashamoola and Chyawanprash.","India, Nepal, Sri Lanka","Desmodium gangeticum","Rare. Mild GI discomfort in high doses.","🌿 Rasayana;🧘 Nervine;🔥 Anti-inflammatory;🪷 Vata pacifying","Used for asthma, arthritis, fever, low immunity, fatigue, and neurological weakness. Common in Rasayana therapy.","Very low.",">2000 mg/kg (rats, oral extract)",,,"desmodium-gangeticum",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3470461/;Ayurvedic Pharmacopoeia of India;Journal of Ethnopharmacology, 2006","false",,,,,,
"Dioscorea villosa","Hormonal / Anti-inflammatory / Women's Health","Caution in hormone-sensitive cancers. Not a replacement for prescribed hormone therapy.","Wild yam is a North American root long used to support women's reproductive health, digestion, and inflammation. Its active compound, diosgenin, is a steroidal saponin used in pharmaceutical hormone synthesis.","May interact with hormone therapy or birth control. No major acute interactions.",,"Hormone balance;Menstrual relief;Anti-inflammatory;Digestive support","dioscorea-villosa","Mild","Legal worldwide","Contains diosgenin, which mimics precursors of progesterone. Modulates prostaglandin synthesis and may balance estrogenic effects.","1–2 hours (oral); cumulative over weeks","Not directly bioavailable as progesterone unless converted synthetically. Still active orally as a tonic and anti-inflammatory herb.","Dried root decoction, capsule, or topical cream. Common in female herbal blends.","North America","Dioscorea villosa","Generally well tolerated. Rare GI upset or skin sensitivity from creams.","🌿 Women's health;🔥 Anti-inflammatory;🌙 Hormone support","Used for PMS, menopausal symptoms, cramping, gallbladder support, and joint inflammation.","Low. Long-term use considered safe.",">5000 mg/kg (rats, oral)",,,"dioscorea-villosa",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4717896/;Botanical Safety Handbook – 2nd Ed.;American Herbal Pharmacopoeia – Wild Yam Monograph","false",,,,,,
"Dream Herb",,"Pregnancy, epilepsy.",,"Sedatives, anticholinergics.",,"","dream-herb",,"Unknown","Modulates acetylcholine and sleep-phase pathways.",,"Smoked or tea; onset during sleep; dream enhancement.",,"Unknown",,"Grogginess, dry mouth.",,"Lucid dreaming, dream recall.",,"Low; traditional use supports safety.",,,"dream-herb",,,"true","https://upload.wikimedia.org/wikipedia/commons/e/e6/Calea_zacatechichi.jpg",,,,,
"Duboisia hopwoodii","Stimulant / Indigenous / Nicotine Analog","Avoid in heart conditions, pregnancy, or with other stimulants or nicotine products.","An indigenous Australian shrub whose dried leaves are used as a traditional stimulant. Pituri contains nicotine and nor-nicotine alkaloids, and is chewed with ash for enhanced absorption.","May interact with stimulants, MAOIs, or vasodilators.",,"Stimulation;Alertness;Appetite suppression;Euphoria (mild)","duboisia-hopwoodii","Moderate","Legal in Australia (cultural protection); restricted elsewhere due to alkaloid content","Alkaloids bind to nicotinic acetylcholine receptors, stimulating the CNS, suppressing hunger, and inducing focus.","5–15 minutes (buccal)","Absorbed via oral mucosa when chewed with alkaline ash. Rapid onset and short duration.","Leaves dried, powdered, and chewed with ash (alkaline base) to improve alkaloid absorption.","Australia (central and northern deserts)","Duboisia hopwoodii","Nausea, dizziness, hypertension, or toxicity at high doses. Dependence may develop with regular use.","⚡ Nicotine;🧠 Stimulant;🔥 Indigenous use;🌿 Pituri","Traditionally used by Aboriginal groups for endurance, ritual, and social bonding. Not commonly used in modern herbalism.","Moderate. Nor-nicotine more toxic than nicotine in some strains.","Nicotine ~50 mg/kg (rats, oral)",,,"duboisia-hopwoodii",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104054/;Aboriginal Pharmacopoeia Australia;Plants of the Gods – Rätsch","false",,,,,,
"Dysphania ambrosioides","Ethnobotanical",,"Also known as Epazote, used in Mesoamerican rituals. Contains CNS-stimulating compounds but is toxic at high doses.",,,"dreamlike;stimulant","dysphania-ambrosioides",,"Unknown","CNS excitation at high doses",,,,"Mexico","Dysphania ambrosioides",,"ritual;visionary;potentially toxic",,,,,,"dysphania-ambrosioides","Ascaridole;p-Cymene",,"false",,,,,,
"Echinacea purpurea","Immune / Mild Stimulant","Autoimmune disorders","Purple coneflower commonly used for colds","Immunosuppressants","1-2 hrs","immune boost;slight energy","echinacea-purpurea","Unknown","Legal","Phenolic compounds like echinacoside modulate immune response","30 min","Oral","Root or herb tea, tincture","North America","Echinacea purpurea","Rare allergic rash","🌿 root","Immune support","Low",">2.5 g/kg (rats)","[object Object]","","echinacea-purpurea",,,,,,"1-2 g dried",,,
"Echinopsis pachanoi","Psychedelic Cactus","Heart issues, mental disorders","Unknown","Avoid combining with stimulants or MAOIs","10–14 h","visuals;euphoria;spiritual insight","Unknown","Strong","Cactus legal in many areas; mescaline often controlled","Contains mescaline, a 5‑HT2A agonist phenethylamine","1–2 h","Onset 1–2 h; duration 10–14 h","Fresh or dried cactus brewed or eaten","Andes, cultivated worldwide","Echinopsis pachanoi","Nausea, increased heart rate, anxiety","san pedro;cactus;mescaline","Andean traditional medicine for divination and healing","Low physiological but intense psychological effects","Not well established",,"","echinopsis-pachanoi","Mescaline","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10433235/;Plants of the Gods – Rätsch & Hofmann;Shamanic Plant Medicine – San Pedro, 2019","false",,,,,,
"Elaeagnus angustifolia",,,,,,"anxiolytic;sedative;pain-relieving","elaeagnus-angustifolia",,"Unknown","GABAergic effects and antioxidant pathways",,,,"Central Asia, Middle East, Europe",,,"sedative;analgesic;folk",,,,,,"elaeagnus-angustifolia",,,,,,,"Russian Olive","Elaeagnin;Flavonoids","Used traditionally to relieve pain, stress, and inflammation."
"Eleutherococcus senticosus","Stimulant / Adaptogen","Hypertension","Also called Siberian ginseng, popular adaptogen.","May interact with digoxin","6 hrs","Energy;stress resistance","eleutherococcus-senticosus","Mild","Legal","Eleutherosides modulate stress hormones","1 hr","Oral; slow onset","Root extract","Siberia","Eleutherococcus senticosus","Insomnia in sensitive individuals","stimulant;✅ safe;🌿 root","Enhance stamina and immune function","Low","Not established","[object Object]","","eleutherococcus-senticosus",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3659614/;Phytomedicine, 2010;WHO Monographs on Selected Medicinal Plants","false",,,,,,
"Eleutherococcus senticosus (Siberian Ginseng)","Empathogen / Euphoriant","Hypertension, pregnancy, hormone-sensitive conditions.","Adaptogenic root boosting stamina and immune function.","May interact with stimulants, immunosuppressants, and anticoagulants.","Unknown","Balanced energy;mood resilience","eleutherococcus-senticosus-siberian-ginseng","Mild","Legal / Unregulated","Adaptogenic modulation of HPA axis and immune response; contains eleutherosides influencing stress resilience.","30-60 min","Oral onset in 30–60 minutes; active glycosides metabolized hepatically.","Tea or extract","🇨🇳 East Asia","Unknown","Mild insomnia, irritability, nervousness in high doses.","☕ brewable;✅ safe;💫 euphoria","Fatigue, immune support, cognitive performance under stress.","Generally considered safe when used short-term. Long-term effects less studied.","No established LD50; high doses in animals show minimal acute toxicity.",,"","eleutherococcus-senticosus-siberian-ginseng",,,,,"1",,,,
"Elsholtzia ciliata",,,,,,"uplifting;digestive aid;mental clarity","elsholtzia-ciliata",,"Unknown","Stimulates gastrointestinal and olfactory receptors",,,,"East and Southeast Asia",,,"stimulant;folk;clarity",,,,,,"elsholtzia-ciliata",,,,,,,"Vietnamese Balm","Elsholtzia ketone","Used in Vietnamese herbal teas for alertness and wellness."
"Entada rheedii","Oneirogen","Pregnancy, lactation, hypersensitivity [0, 6].","Seed from a tropical vine used in African traditions to induce vivid dreams.","May potentiate CNS depressants; caution with anticholinergics [0, 6].","Unknown","Dream enhancement;trance","entada-rheedii","Moderate","Legal / Unregulated","Unknown","30-60 min","Traditionally consumed as cold water infusion; onset ~1–2 h; effects last ~6–8 h [0, 11].","Seed powder or chew","🇲🇽 Latin America","Unknown","Mild GI upset, drowsiness; rare nausea [0, 6].","✅ safe;💊 oral;🧠 dream","Dream enhancement, lucid dreaming, traditional remedy for diarrhea and stomach aches [0, 6, 0, 11].","Low; no severe toxicity reported in traditional use [0, 6].","Unknown",,"","entada-rheedii","Saponins",,"false",,"1",,,,
"Ephedra",,"Heart conditions, hypertension, pregnancy.",,"Stimulants, beta-blockers, MAOIs.",,"","ephedra",,"Unknown","Ephedrine stimulates alpha and beta adrenergic receptors; raises heart rate and CNS activity.",,"Oral; onset ~30 min; duration 4–6 hours.",,"Unknown",,"Palpitations, anxiety, hypertension.",,"Decongestant, stimulant, fat loss aid.",,"Ephedrine LD50 ~50 mg/kg (oral, mice).",,,"ephedra",,,"true","https://upload.wikimedia.org/wikipedia/commons/f/fb/Ephedra_sinica.jpg",,,,,
"Ephedra sinica","Stimulant / Decongestant","Heart disease, hypertension, MAOIs.","Shrubby plant known as Ma Huang; source of ephedrine used both medicinally and recreationally.","Dangerous with other stimulants or MAOIs","4–6 hrs","Energy boost;bronchodilation","Unknown","Strong","Regulated in many countries","Ephedrine and pseudoephedrine stimulate adrenergic receptors and release norepinephrine.","20 min","Oral; onset ~20 min; duration 4–6 hrs.","Dried stems brewed as tea or processed into extract.","China and Central Asia","Ephedra sinica","Jitters, elevated heart rate, insomnia","⚠️ potent;🌿 ma huang","Traditional Chinese medicine for asthma, colds, and as a stimulant.","High doses can raise blood pressure and cause cardiovascular stress.","Ephedrine LD50 ~50 mg/kg (rats)","[object Object]","","ephedra-sinica",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3896985/;FDA Ephedra Ban Report (2004);Pharmacopoeia of the People’s Republic of China","false",,,,,,
"Erythrina americana","Sedative / Anxiolytic","Pregnancy, combining with CNS depressants","Known locally as Colorín; its red flowers are brewed into a soothing bedtime drink.","May enhance effects of other sedatives","3–5 h","relaxation;dreaminess;reduced anxiety","erythrina-americana","Mild to Moderate","Legal","Contains erythrinan alkaloids acting as GABAergic depressants","30–45 min","Onset 30–45 min orally; duration 3–5 h","Flowers or bark steeped as tea","Mexico","Erythrina americana","Drowsiness, dizziness","mexico;flower;sleep","Mexican folk remedy for insomnia and nervous tension","Low to moderate","Not well established",,"","erythrina-americana",,,,,,,,,
"Erythrina mulungu","Sedative / Anxiolytic","Pregnancy, combining with strong sedatives","Flowering tree whose bark is prized in Brazilian folk medicine for calming nerves and promoting sleep.","May potentiate other CNS depressants","4–6 h","deep relaxation;anxiety relief;sleepiness","erythrina-mulungu","Moderate","Legal","Erythrinan alkaloids interact with GABA receptors causing CNS depression","30 min","Onset ~30 min orally; effects last 4–6 h","Bark decoction or tincture consumed before sleep","Brazil and neighboring countries","Erythrina mulungu","Drowsiness, lowered blood pressure","brazil;root;sleep","South American remedy for insomnia and stress","Relatively safe at moderate doses","Not well documented",,"","erythrina-mulungu",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4770635/;Journal of Ethnopharmacology, 2007;Rainforest Remedies – Taylor, 2003","false",,,,,,
"Erythroxylum catuaba","Stimulant / Aphrodisiac","Insomnia","Amazonian tonic reputed to enhance vitality","Stimulants","2-4 hrs","mild euphoria;libido boost","erythroxylum-catuaba","Unknown","Legal","Alkaloids like catuabine may modulate dopamine","30-60 min","Oral decoction","Bark decoction","Brazil","Erythroxylum catuaba","Restlessness","🌳 bark","Aphrodisiac, tonic","Low","Not well documented","[object Object]","","erythroxylum-catuaba",,,,,,"1-2 g bark",,,
"Erythroxylum coca","Stimulant","Heart disease, pregnancy, hypertension","Unknown","Dangerous with MAOIs or stimulants","1–2 h","alertness;reduced fatigue;mild euphoria","Unknown","Moderate","Cultivation regulated; cocaine controlled","Leaves contain cocaine acting as a dopamine and norepinephrine reuptake inhibitor","Minutes","Onset within minutes when chewed; duration 1–2 h","Leaves chewed with lime or brewed as tea","Andean South America","Erythroxylum coca","Increased heart rate, insomnia, potential dependence","andes;alkaloid;coca leaf","Altitude sickness relief, energy boost, appetite suppression","Low in leaf form; purified alkaloid is addictive","~95 mg/kg (rat, cocaine)",,"","erythroxylum-coca",,,,,,,,,
"Eschscholzia californica","Dissociative / Sedative","Use caution with other sedatives","California poppy with gentle relaxing properties.","Potentiates CNS depressants","2-4 hrs","Sedation;mild euphoria","eschscholzia-californica","Mild","Legal","Protopine alkaloids interact with GABA receptors","20 min","Oral or smoked; quick onset","Tincture or smoked","North America","Eschscholzia californica","Drowsiness","✅ safe;🌿 flower;💤 sedation","Anxiety and sleep support","Low","Not established","[object Object]","","eschscholzia-californica",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3358986/;American Herbal Pharmacopoeia – Eschscholzia;Journal of Natural Medicines, 2011","false",,,,,,
"Eschscholzia californica (California poppy)","Dissociative / Sedative","Glaucoma, MAOI therapy, pregnancy, lactation [2, 9].","Gentle sedative flower used for anxiety and sleep support.","Additive CNS depression with sedatives, barbiturates; caution with blood thinners and antihypertensives [2, 8].","Unknown","Sleep aid;mild dreamlike calm","eschscholzia-californica-california-poppy","Mild","Legal / Unregulated","Unknown","15-45 min","Oral (tea, extract); onset 30–60 min; duration ~4 h; bioavailability of key alkaloids moderate [2, 3].","Tea, tincture","🌎 Unknown / Global","Unknown","High doses may cause residual sedation ("hangover"), nausea, dizziness; avoid operating machinery [2, 8, 2, 9].","☕ brewable;✅ safe;🌀 dissociation;🧘 sedation","Anxiety reduction, insomnia aid, mild analgesic, vasomotor headache relief [2, 3, 2, 7].","Low; no significant toxicity at therapeutic doses [2, 9].","Unknown",,"","eschscholzia-californica-california-poppy",,,,,"1",,,,
