Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Crataegus monogyna,Crataegus monogyna Jacq.,"Europe, North Africa, West Asia",Hawthorn; cardiotonic herb for heart health and circulation.,"Cardiotonic, vasodilatory, antioxidant",Flavonoids and procyanidins improve coronary flow and myocardial oxygen use,"Angina, hypertension, CHF","Nausea, dizziness","Digitalis therapy, low BP","Beta-blockers, digoxin",Low,Legal,"Leaf, flower, berry tincture or extract",1–2 weeks,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3249900/,"Vitexin, hyperoside, procyanidins",crataegus monogyna
Curcuma longa,Curcuma longa L.,"India, Southeast Asia",Turmeric; widely used anti-inflammatory and antioxidant root.,"Anti-inflammatory, antioxidant, hepatoprotective","Curcumin modulates NF-κB, cytokines, COX enzymes","Arthritis, metabolic syndrome, liver support","GI upset, dizziness (high dose)","Gallstones, bleeding disorders","Anticoagulants, NSAIDs",Low,Legal,"Powder, capsules, extracts",Days to weeks,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5664031/,"Curcumin, demethoxycurcumin, turmerones",curcuma longa
Cymbopogon citratus,Cymbopogon citratus (DC.) Stapf,"India, Southeast Asia, tropical Americas","Lemongrass; aromatic herb for digestion, anxiety, and inflammation.","Antimicrobial, sedative, anti-inflammatory",Citral and limonene inhibit prostaglandins and microbial growth,"Insomnia, indigestion, infections","Skin irritation (topical), allergic reactions",Pregnancy (essential oil),"Sedatives, antihypertensives",Low,Legal,"Tea, essential oil, tincture",30 minutes–2 hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3217679/,"Citral, myrcene, limonene, flavonoids",cymbopogon citratus
Cynara scolymus,Cynara scolymus L.,"Mediterranean, North Africa, cultivated worldwide",Artichoke; leaf extract used for liver health and digestion.,"Cholagogue, hepatoprotective, lipid-lowering",Cynarin and chlorogenic acid enhance bile flow and antioxidant enzyme activity,"Hyperlipidemia, indigestion, liver support","GI upset, allergic reactions","Bile duct obstruction, gallstones","Statins, diuretics",Low,Legal,"Leaf extract, capsules, tea",1–3 weeks,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5986486/,"Cynarin, luteolin, chlorogenic acid",cynara scolymus
Cynodon dactylon,Cynodon dactylon (L.) Pers.,Tropical and subtropical regions worldwide,Bermuda grass; traditional use in Ayurveda for urinary and anti-inflammatory effects.,"Diuretic, anti-inflammatory, antimicrobial",Flavonoids modulate inflammatory cytokines; phenolics inhibit microbial growth,"UTIs, inflammation, wound healing",Minimal reported,None well-documented,Unknown,Low,Legal,"Juice, decoction, paste",Hours to days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4027280/,"Apigenin, luteolin, beta-sitosterol",cynodon dactylon
Cyperus articulatus,Cyperus articulatus L.,"Amazon, Africa, Southeast Asia",Also known as 'Piri Piri'; used by Amazonian shamans to treat spiritual and physical imbalances.,"Dream-like state, clarity, calm",Essential oils and alkaloids influence GABA and serotonin modulation,"Anxiety, divination, wound healing","Rare: nausea, drowsiness","Pregnancy, liver disorders","Sedatives, CNS depressants",Low,Legal,"Boiled rhizome tea, smoke, essential oil",30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8384034/,"Cyperotundone, patchoulenone, flavonoids",cyperus articulatus
Cyperus rotundus,Cyperus rotundus L.,"Africa, Asia, Southern Europe","Nutgrass; used in Ayurveda and TCM for digestive, pain-relief, and gynecological issues.","Analgesic, carminative, antipyretic",Cyperene and other sesquiterpenes reduce prostaglandin synthesis,"Dysmenorrhea, flatulence, pain",Mild GI symptoms,Pregnancy (limited safety data),"NSAIDs, hormone-related medications",Low,Legal,"Powder, decoction, paste",Hours to days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8301299/,"Cyperene, flavonoids, sesquiterpenoids",cyperus rotundus
Datura metel,Datura metel L.,"India, Africa, Southeast Asia",A highly psychoactive and toxic plant used ritually in Hinduism and African spiritual ceremonies.,"Delirium, hallucinations, amnesia, dissociation",Tropane alkaloids block muscarinic acetylcholine receptors,"Asthma (smoked), analgesic, ritual intoxication","Tachycardia, delirium, coma, death (dose-dependent)","Heart disease, glaucoma, pregnancy","Anticholinergic drugs, MAOIs",Very high,Controlled/restricted in some countries,Traditionally smoked or made into infusions (extremely risky),30–60 minutes,Extreme,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3251736/,"Scopolamine, atropine, hyoscyamine",datura metel
Datura stramonium,Datura stramonium L.,Worldwide (naturalized tropical and subtropical),Jimsonweed; psychoactive and toxic herb used in traditional ritual and medicine.,"Anticholinergic, hallucinogenic, antispasmodic",Tropane alkaloids block acetylcholine at muscarinic receptors,"Asthma (historically smoked), motion sickness","Delirium, dry mouth, tachycardia, hallucinations","Pregnancy, heart conditions, psychiatric disorders","Anticholinergics, antihistamines",High (narrow therapeutic range),Restricted/controlled,Dried leaf (external or historical inhalation),30 minutes–2 hours,Strong to severe,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7532990/,"Scopolamine, atropine, hyoscyamine",datura stramonium
Delosperma bosseranum,Delosperma bosseranum L. Bolus,Madagascar,Succulent herb used in modern entheogenic practice for its oneirogenic (dream-enhancing) properties.,"Enhanced dreaming, light euphoria",Suspected modulation of serotonin and acetylcholine,"Dream enhancement, spiritual exploration","Unconfirmed, likely minimal",Unknown,Unknown,Low (modern users report safety),Legal,Smoked or used as a tincture,10–30 minutes,Mild,https://psychonautwiki.org/wiki/Delosperma_bosseranum,Unidentified alkaloids,delosperma bosseranum
Delosperma cooperi,Delosperma cooperi (Hook.f.) L.Bolus,South Africa (cultivated globally),Ornamental succulent related to Sceletium; shows mesembrine alkaloids.,"Mood elevation, mild euphoria (speculative)",Suspected SSRI-like action via mesembrine alkaloids,"Anxiety, stress relief (anecdotal)",Unverified; possibly dry mouth or dizziness,Unknown,Unknown,Low (edible family),Legal,Fermented leaf extract,30–60 minutes (speculative),Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8489939/,Mesembrine analogs (tentative),delosperma cooperi
Dendrobium nobile,Dendrobium nobile Lindl.,"China, Southeast Asia","Orchid species used in Traditional Chinese Medicine as a tonic, aphrodisiac, and mild psychoactive.","Mental clarity, mood enhancement",Alkaloids like dendrobine affect dopaminergic and CNS excitatory pathways,"Tonic, fatigue, libido",None common; high doses may cause agitation,Pregnancy,Stimulants,Low to moderate,Legal,Decoction or extract,30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6197294/,"Dendrobine, alkaloids, sesquiterpenes",dendrobium nobile
Desfontainia spinosa,Desfontainia spinosa Ruiz & Pav.,"Andes, Chile, Colombia",Shrub used in Mapuche ceremonies; psychoactive properties linked to nausea and hallucination.,"Dizziness, mild hallucinations, euphoria",Triterpenes and iridoid glycosides act on CNS; mechanism unclear,Folk medicine for gastrointestinal issues and spiritual divination,"Nausea, vomiting, lightheadedness","Pregnancy, GI disorders",Unknown,Moderate,Legal,Leaf tea or dried extract,30–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4209373/,"Desfontainin, iridoids, triterpenoids",desfontainia spinosa
Desmanthus illinoensis,Desmanthus illinoensis (Michx.) MacMill.,North America (central US),Also known as Illinois bundleflower; contains DMT in root bark and used in entheogenic contexts.,Visionary experiences when extracted or brewed with MAOIs,DMT acts on 5-HT2A receptors (requires MAOI co-administration orally),Entheogenic/spiritual applications,"Tremors, anxiety, vomiting (with MAOIs)","Psychosis, cardiovascular issues, MAOI sensitivity","MAOIs, SSRIs, serotonergic drugs",Moderate to high (when used incorrectly),"Legal plant, DMT controlled",Root bark extracted or brewed (often with Syrian Rue),20–60 minutes (with MAOIs),Strong,https://erowid.org/plants/desmanthus/desmanthus.shtml,"DMT, NMT, beta-carbolines (possible)",desmanthus illinoensis
Desmodium gangeticum,Desmodium gangeticum (L.) DC.,"India, Sri Lanka, Southeast Asia",Sanskrit herb 'Shalaparni'; part of dashamoola; used in rejuvenation and mind calming.,"Tranquility, nerve relaxation, antipsychotic potential",Alkaloids and flavonoids modulate CNS neurotransmitters,"Anxiety, fatigue, psychosis support","Drowsiness, low BP","Low blood pressure, sedative use","CNS depressants, hypotensives",Low,Legal,"Root decoction, capsule",45–60 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3249959/,"Desmodin, flavonoids, alkaloids",desmodium gangeticum
Dichroa febrifuga,Dichroa febrifuga Lour.,"China, Southeast Asia",One of the 50 fundamental Chinese herbs; used for malaria and believed to alter mental state in high doses.,"Fever-reducing, CNS stimulant at higher doses",Febrifugine and isofebrifugine may affect acetylcholine and parasite suppression,"Malaria, fever, tonic","Nausea, vomiting, hallucinations (high doses)","Pregnancy, liver issues",Hepatotoxic drugs,Moderate,Legal (restricted in some countries),Root decoction or powder,30–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6375790/,"Febrifugine, isofebrifugine",dichroa febrifuga
Dioscorea villosa,Dioscorea villosa L.,North America,"Wild yam; root traditionally used for menstrual, menopausal, and inflammatory conditions.","Antispasmodic, phytoestrogenic, anti-inflammatory",Diosgenin modulates steroid synthesis and prostaglandin pathways,"Menstrual cramps, menopause, arthritis","Nausea, headache (rare)",Hormone-sensitive conditions,"Hormone therapies, contraceptives",Low,Legal,"Capsule, tincture, tea",Days to weeks,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5480595/,"Diosgenin, tannins, saponins",dioscorea villosa
Diplopterys cabrerana,Diplopterys cabrerana (Cuatrec.) B. Gates,Amazon Basin,"One of the main DMT-rich admixtures in ayahuasca brews, often paired with Banisteriopsis caapi.","Intense visual hallucinations, ego dissolution, spiritual visions",DMT is a serotonin agonist (5-HT2A receptor); requires MAOIs for oral activity,"Psychedelic therapy, spiritual insight","Nausea, anxiety, hypertension","MAOI interactions, heart conditions, psychiatric disorders","SSRIs, MAOIs, stimulants",Moderate to high (with MAOIs),Restricted in many countries (DMT source),"Boiled with MAOI vine (ayahuasca), smoked (rare)",20–60 min (oral with MAOI),Very strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8707593/,"N,N-DMT, 5-MeO-DMT",diplopterys cabrerana
Dysphania ambrosioides,Dysphania ambrosioides (L.) Mosyakin & Clemants,"Mexico, Central and South America",Known as Epazote; culinary and medicinal herb with traditional psychoactive reputation in high doses.,"Digestive aid, stimulant, mild visionary effects (high doses)",Ascaridole and monoterpenes may modulate CNS receptors,"Antiparasitic, digestive aid, anti-inflammatory","Hepatotoxicity, convulsions in overdose","Pregnancy, liver/kidney issues",Liver-metabolized drugs,Moderate to high (dose-dependent),Legal (culinary herb),"Tea, leaf extract",30–60 minutes,Mild to strong (dose-dependent),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7124684/,"Ascaridole, p-cymene, limonene",dysphania ambrosioides
Eclipta prostrata,Eclipta prostrata (L.) L.,"Asia, tropical and subtropical regions","False daisy; used in Ayurveda and TCM for liver, hair, and skin.","Hepatoprotective, anti-inflammatory, antimicrobial",Wedelolactone and eclalbasaponins modulate cytokines and liver enzymes,"Hepatitis, alopecia, skin infections",Rare GI symptoms,None well documented,Hepatotoxic drugs (potentially synergistic),Low,Legal,"Juice, powder, tincture, decoction",Days to weeks,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4946216/,"Wedelolactone, ecliptine, stigmasterol",eclipta prostrata
Elaeagnus angustifolia,Elaeagnus angustifolia L.,"Central Asia, Iran, Mediterranean","Folk sedative, anxiolytic, and pain-relief herb; mildly psychoactive.","Relaxation, mood support",Flavonoids and serotonin-like alkaloids modulate CNS,"Anxiety, depression, analgesia","Mild sedation, dizziness","Pregnancy, sedative use",CNS depressants,Low,Legal,Fruit or flower tea; extract,30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6473227/,"Flavonoids, alkaloids, phenolics",elaeagnus angustifolia
Elephantopus mollis,Elephantopus mollis Kunth,"Tropics (Americas, Asia, Africa)","Traditionally used for wound healing, fever, and potential CNS effects in folk remedies.","Mild sedation, anti-inflammatory, neuroprotective",Terpenoids and flavonoids with anti-inflammatory and antioxidant properties,"Fever, inflammation, mild sedation",Rare; possibly GI discomfort,"Pregnancy, anticoagulant therapy","NSAIDs, anticoagulants",Low,Legal,Infusion or decoction of leaves and root,30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8043955/,"Elephantopin, flavonoids, terpenoids",elephantopus mollis
Eleutherococcus senticosus,Eleutherococcus senticosus (Rupr. & Maxim.) Maxim.,"Siberia, China, Korea",Adaptogenic herb known as Siberian Ginseng; reported CNS stimulant and cognitive enhancer.,"Enhanced energy, reduced fatigue, improved cognition",Eleutherosides modulate cortisol and dopamine,"Stress, stamina, cognitive performance","Irritability, insomnia (in high doses)","Hypertension, anxiety","Stimulants, antidepressants",Low,Legal,"Tincture, tea, capsules",30–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7573731/,"Eleutherosides, lignans",eleutherococcus senticosus
Entada rheedii,Entada rheedii Spreng.,"Africa, Asia, Pacific Islands",‘African Dream Herb’; used by Zulu and Pacific peoples for lucid dreams.,"Dream enhancement, calm, subtle euphoria",Saponins and triterpenes modulate REM and memory pathways,"Dream recall, spiritual dreaming",None widely reported,Unknown,Unknown,Low,Legal,Seed extract or roasted powder,During sleep (night-time effects),Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678419/,"Saponins, triterpenoids",entada rheedii
Ephedra sinica,Ephedra sinica Stapf,"China, Mongolia","Ma Huang; stimulant herb used for asthma, congestion, and energy.","Bronchodilator, stimulant, thermogenic",Ephedrine and pseudoephedrine act on adrenergic receptors,"Asthma, nasal congestion, fatigue","Hypertension, anxiety, insomnia","Heart disease, hypertension, anxiety","MAOIs, stimulants, beta-blockers",Moderate to high,Restricted (FDA ban in U.S. supplements),"Decoction (TCM), traditional formulations",30 minutes–2 hours,Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6834405/,"Ephedrine, pseudoephedrine",ephedra sinica
Equisetum arvense,Equisetum arvense L.,"Northern Hemisphere (Europe, Asia, North America)","Horsetail; used for urinary tract health, bones, and skin.","Diuretic, astringent, remineralizing",Silica and flavonoids modulate urinary output and collagen synthesis,"UTIs, edema, wound healing, osteoporosis (supportive)","GI upset, thiamine deficiency (long-term)","Pregnancy, kidney disorders","Diuretics, lithium",Low to moderate,Legal,"Tea, capsules, decoction",Days to weeks,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8654420/,"Silica, equisetonin, flavonoids",equisetum arvense
Erigeron canadensis,Erigeron canadensis L.,"North America, naturalized in Europe and Asia","Canadian fleabane; traditional herb for diarrhea, hemorrhage, and inflammation.","Astringent, hemostatic, anti-inflammatory",Tannins and flavonoids constrict tissues and reduce capillary permeability,"Hemorrhoids, GI bleeding, sore throat",GI discomfort (high dose),"Pregnancy, bleeding disorders","Anticoagulants, NSAIDs",Low,Legal,"Infusion, tincture, topical poultice",1–2 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6007871/,"Tannins, limonene, flavonoids",erigeron canadensis
Ervatamia coronaria,Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.,"India, Southeast Asia",Used in Ayurvedic and shamanic healing; contains psychoactive indole alkaloids related to ibogaine.,"Mild euphoria, meditative clarity, sedation",Indole alkaloids modulate dopamine and NMDA receptors,"Stress, spiritual centering, PTSD (potential)","Drowsiness, light nausea","Pregnancy, psychosis","CNS depressants, MAOIs",Moderate,Legal,Root or bark extract,30–45 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8273395/,"Voacangine, coronaridine",ervatamia coronaria
Eryngium foetidum,Eryngium foetidum L.,"Central America, Caribbean, Southeast Asia","Culantro; culinary and medicinal herb for fever, asthma, and infections.","Antipyretic, antimicrobial, anti-inflammatory",Essential oils inhibit microbial growth and prostaglandin pathways,"Fever, GI disorders, infections",Rare allergic reactions,None known,Limited evidence,Low,Legal,"Infusion, culinary use, tincture",Hours to days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4317477/,"Eryngial, essential oils, flavonoids",eryngium foetidum
Erythrina mulungu,Erythrina mulungu Mart. ex Benth.,"Brazil, Amazon Basin",Amazonian sedative and anxiolytic used by shamans and healers for calming and sleep.,"Tranquility, sedation, mild dream enhancement",Erythrinan alkaloids modulate GABAergic neurotransmission,"Insomnia, anxiety, PTSD, spiritual grounding","Drowsiness, low blood pressure","Sedative use, hypotension","Benzodiazepines, barbiturates",Low to moderate,Legal,Bark decoction or capsule,30–60 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3854496/,"Erythravine, hypaphorine",erythrina mulungu
Eschscholzia californica,Eschscholzia californica Cham.,Western United States,California poppy; mild sedative used for anxiety and sleep.,"Sedative, anxiolytic, antispasmodic",Alkaloids interact with GABA and serotonin receptors,"Insomnia, anxiety, neuralgia","Drowsiness, vivid dreams","CNS depressants, pregnancy","Sedatives, antidepressants",Low,Legal (restricted in some U.S. states),"Tincture, capsules, tea",30–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6261092/,"Protopine, allocryptopine, flavonoids",eschscholzia californica
Eucalyptus globulus,Eucalyptus globulus Labill.,"Australia, widely cultivated globally",Blue gum eucalyptus; widely used for respiratory issues.,"Expectorant, antimicrobial, anti-inflammatory",Eucalyptol reduces airway mucus and microbial growth,"Bronchitis, sinusitis, sore throat","Skin irritation, nausea (oil ingestion)","Children (essential oil), asthma",CNS depressants,Moderate (oil form),Legal,"Steam inhalation, oil, syrup",Minutes to hours,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6313445/,"Eucalyptol, alpha-pinene, flavonoids",eucalyptus globulus
Eupatorium perfoliatum,Eupatorium perfoliatum L.,North America,"Boneset; traditional herb used for fever, colds, and immune support.","Diaphoretic, immunostimulant, anti-inflammatory",Polysaccharides and sesquiterpene lactones stimulate immunity and reduce fever,"Influenza, colds, fever","Nausea, vomiting (high dose)","Pregnancy, liver disease",Hepatotoxic drugs,Moderate (pyrrolizidine alkaloids),Legal (restricted in some countries),"Infusion, tincture",1–3 hours,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6163925/,"Eupatorin, polysaccharides, sesquiterpene lactones",eupatorium perfoliatum
Foeniculum vulgare,Foeniculum vulgare Mill.,"Mediterranean, Europe, Asia","Fennel; aromatic herb used for digestion, colic, and respiratory issues.","Carminative, expectorant, antispasmodic",Anethole and fenchone reduce smooth muscle contractions and enhance mucus clearance,"Bloating, infant colic, coughs","Allergic reactions, photosensitivity","Pregnancy (high doses), hormone-sensitive conditions",Hormonal therapies,Low,Legal,"Tea, oil, capsules",Minutes to hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267287/,"Anethole, estragole, fenchone",foeniculum vulgare
Fucus vesiculosus,Fucus vesiculosus L.,North Atlantic coasts,Bladderwrack; brown seaweed used for thyroid and weight regulation.,"Thyroid stimulant, anti-obesity, antioxidant",Iodine and fucoxanthin stimulate thyroid hormone production and metabolism,"Hypothyroidism, obesity, goiter","Iodine sensitivity, acne","Hyperthyroidism, pregnancy, anticoagulants","Thyroid medications, anticoagulants",Moderate (iodine content),Legal,"Capsules, dried powder, tincture",Days to weeks,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6089945/,"Fucoidan, iodine, fucoxanthin",fucus vesiculosus
Galbulimima belgraveana,Galbulimima belgraveana F.Muell.,"Papua New Guinea, Australia",Bark traditionally used with Homalomena in psychoactive infusions.,"Sedation, hallucinations, dream-like states",Galbulimimine alkaloids act on cholinergic and GABA systems,"Sleep aid, visionary trance","Ataxia, nausea, delirium (high doses)","Heart disease, pregnancy","CNS depressants, anticholinergics",Moderate to high,Legal (rarely regulated),Boiled bark with companion plant,30–90 minutes,Moderate to strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274571/,"Galbulimimine A–G, himbeline",galbulimima belgraveana
Galium aparine,Galium aparine L.,"Europe, Asia, North America",Cleavers; lymphatic herb traditionally used for detox and skin issues.,"Lymphatic, diuretic, anti-inflammatory",Iridoid glycosides and flavonoids promote lymph drainage and reduce edema,"Lymph congestion, eczema, urinary irritation",Rare skin rash or GI upset,None well documented,Diuretics,Low,Legal,"Tea, tincture, fresh juice",1–3 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6502223/,"Iridoids, chlorophyll, flavonoids",galium aparine
Galphimia glauca,Galphimia glauca Cav.,Mexico,Anxiolytic herb used in traditional and clinical settings; studied for its calming effects comparable to benzodiazepines.,"Anxiolytic, sedative",Galphimines modulate GABAergic and dopaminergic pathways,"Anxiety, stress, mild depression","Drowsiness, dry mouth","Sedative use, pregnancy","Benzodiazepines, antidepressants",Low,Legal,"Standardized extract, tincture, capsules",30–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4525126/,"Galphimines A and B, flavonoids",galphimia glauca
Garcinia cambogia,Garcinia cambogia (Gaertn.) Desr.,"South Asia, Southeast Asia",Tamarind-like fruit used for weight loss and appetite suppression.,"Appetite suppressant, fat metabolism booster","HCA inhibits ATP citrate lyase, reducing lipid synthesis","Obesity, metabolic syndrome (supportive)","GI upset, headache, dizziness","Pregnancy, liver disease","Statins, SSRIs",Moderate,Legal (regulated in some regions),"Extract, capsules, powder",1–2 weeks,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3010674/,"Hydroxycitric acid (HCA), xanthones",garcinia cambogia
Gardenia jasminoides,Gardenia jasminoides J. Ellis,"China, East Asia",Fragrant flower used in TCM and dream work; may affect melatonin cycles and serotonin.,"Sleep induction, anti-anxiety, vivid dreaming",Geniposide and gardenoside act on serotonergic and circadian systems,"Insomnia, anxiety, inflammation","Fatigue, GI upset","Pregnancy, anticoagulants","Sedatives, CNS depressants",Low,Legal,"Tea, essential oil, dried petals",20–45 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8302933/,"Geniposide, crocin, gardenoside",gardenia jasminoides
Gelsemium sempervirens,Gelsemium sempervirens (L.) W.T.Aiton,Southeastern United States,Highly toxic vine with alkaloids used in traditional medicine for anxiety and spiritual healing.,"Sedative, antianxiety, paralysis at high doses",Gelsemine and related alkaloids act on glycine and GABA receptors,"Anxiety, muscle relaxation, analgesia (risky)","Severe toxicity, respiratory depression, death in overdose","Heart/lung conditions, pregnancy","Sedatives, muscle relaxants",High,Legal but highly discouraged for self-use,"Diluted tincture (rare), homeopathy",15–30 minutes,Moderate to strong (toxic range),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4630847/,"Gelsemine, sempervirine",gelsemium sempervirens
Gentiana lutea,Gentiana lutea L.,Central and Southern Europe,Great yellow gentian; bitter herb for digestion and appetite stimulation.,"Bitter tonic, digestive stimulant",Gentiopicroside stimulates gastric secretions via bitter taste receptors,"Dyspepsia, anorexia, liver sluggishness","Heartburn, nausea","Gastric ulcers, GERD","Antacids, PPIs",Low,Legal,"Tincture, digestive bitters, infusion",Within hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5473186/,"Gentiopicroside, amarogentin, xanthones",gentiana lutea
Geranium robertianum,Geranium robertianum L.,"Europe, North Africa, Asia","Herb Robert; traditional herb for wounds, inflammation, and infections.","Astringent, anti-inflammatory, antimicrobial",Tannins and geraniin inhibit microbial growth and reduce capillary permeability,"Wounds, diarrhea, mouth ulcers",Rare skin irritation,None well documented,Limited data,Low,Legal,"Infusion, poultice, tincture",1–3 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7453498/,"Geraniin, ellagic acid, flavonoids",geranium robertianum
Ginkgo biloba,Ginkgo biloba L.,"China (native), cultivated globally",Ancient tree species used for cognitive function and circulation.,"Nootropic, vasodilator, antioxidant",Ginkgolides modulate platelet activation and enhance cerebral blood flow,"Memory loss, tinnitus, peripheral artery disease","Headache, dizziness, bleeding","Bleeding disorders, surgery","Anticoagulants, NSAIDs",Low to moderate,Legal,"Standardized extract, capsules",2–4 weeks,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3139579/,"Ginkgolides, bilobalide, flavonoids",ginkgo biloba
Glechoma hederacea,Glechoma hederacea L.,"Europe, Asia",Ground ivy; traditional herb for respiratory and kidney conditions.,"Expectorant, diuretic, anti-inflammatory",Essential oils and polyphenols reduce inflammation and support mucous membrane healing,"Bronchitis, coughs, kidney stones",Rare allergic reactions,Pregnancy (insufficient data),"Diuretics, NSAIDs",Low,Legal,"Tea, tincture",1–2 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6273683/,"Ursolic acid, rosmarinic acid, essential oils",glechoma hederacea
Glycyrrhiza glabra,Glycyrrhiza glabra L.,Mediterranean to Central Asia,Licorice root; sweet-tasting root with anti-ulcer and anti-inflammatory properties.,"Demulcent, anti-inflammatory, anti-ulcer",Glycyrrhizin modulates cortisol metabolism and enhances mucosal defense,"Peptic ulcers, sore throat, adrenal fatigue","Hypertension, hypokalemia (long use)","Hypertension, kidney disease, pregnancy","Diuretics, corticosteroids",Moderate (dose-dependent),Legal (regulated in some countries),"Tea, extract, lozenges",1–3 days,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4629407/,"Glycyrrhizin, liquiritin, glabridin",glycyrrhiza glabra
Grindelia robusta,Grindelia robusta Nutt.,North America,Gumweed; used in respiratory issues and skin inflammation.,"Expectorant, anti-inflammatory, antispasmodic",Resins and saponins loosen mucus and reduce bronchial inflammation,"Bronchitis, asthma, poison ivy rash",GI irritation (high dose),"Pregnancy, gastritis",Cough suppressants,Low to moderate,Legal,"Tincture, tea, salve",Hours to days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7347310/,"Saponins, flavonoids, grindelic acid",grindelia robusta
Gymnema sylvestre,Gymnema sylvestre (Retz.) R.Br. ex Sm.,"India, Southeast Asia, Africa",Sugar destroyer; used in Ayurvedic medicine for diabetes management.,"Hypoglycemic, antidiabetic, appetite suppressant",Gymnemic acids block sugar absorption and stimulate insulin secretion,"Type 2 diabetes, weight loss, metabolic syndrome","Hypoglycemia, nausea (high doses)","Hypoglycemic therapy, pregnancy","Insulin, antidiabetic drugs",Low to moderate,Legal,"Capsules, tea, extract",Days to weeks,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3704564/,"Gymnemic acids, saponins",gymnema sylvestre
Hamamelis virginiana,Hamamelis virginiana L.,Eastern North America,Witch hazel; used topically for skin inflammation and varicose veins.,"Astringent, anti-inflammatory, hemostatic",Tannins and flavonoids reduce capillary permeability and inflammation,"Hemorrhoids, bruises, skin irritation",Skin dryness or irritation (topical),None notable (external use),Minimal risk (topical),Low,Legal,"Distillate, ointment, compress",Minutes to hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5372953/,"Tannins, hamamelitannin",hamamelis virginiana
Harpagophytum procumbens,Harpagophytum procumbens DC. ex Meisn.,Southern Africa,"Devil's claw; root used for arthritis, back pain, and inflammation.","Analgesic, anti-inflammatory, chondroprotective",Harpagoside inhibits COX-2 and inflammatory cytokines,"Arthritis, back pain, joint disorders","Diarrhea, nausea","Gastric ulcers, diabetes","NSAIDs, anticoagulants",Low,Legal,"Capsules, dried root, decoction",Days to weeks,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4045288/,"Harpagoside, procumbide",harpagophytum procumbens
