id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
blue-lotus-nymphaea-caerulea,,Unknown,other,Mild,🌎 unknown / global,Legal / Unregulated,sacred water lily delivering gentle euphoria and relaxation.,Euphoria;aphrodisiac;dreamy calm,Contains aporphine and nuciferine; dopamine receptor modulation and mild sedative effect.,,☕ brewable;✅ safe;🌬️ smokable;🧘 sedation,potential additive effects with cns depressants.,"pregnancy, avoid with dopaminergic drugs.",,"mild euphoria, anxiety relief, and aphrodisiac in traditional use.",1,"drowsiness, mild dizziness at high doses.",Low toxicity; no serious effects reported from traditional use.,Not established; no reported lethal doses.,false,
bobinsana,,Calliandra angustifolia,ritual / visionary,Mild,"amazon basin (peru, ecuador)",Legal,a flowering amazonian shrub used in master plant dieta and as an adjunct to ayahuasca ceremonies for emotional healing and dream clarity.,Heart-opening;emotional clarity;mild euphoria,Unknown; possibly serotonergic modulation or mild MAOI,,✅ safe;🌿 herbal;🧘 calm,unknown; caution with serotonergics,"pregnancy, psychiatric disorders",,"emotional trauma healing, dream support",,"drowsiness, mild emotional vulnerability",Low,Not established,false,
boldo,,,none,unknown,unknown,Unknown,none,,Contains boldine; acts as antioxidant and cholagogue.,,none,"anticoagulants, hepatotoxic drugs.","bile duct obstruction, pregnancy.",,"digestive support, liver detoxification, mild sedative.",,"nausea, allergic reactions.",,"Boldine LD50 ~500 mg/kg (rat, oral).",false,
echinopsis-lageniformis,,Echinopsis lageniformis,psychedelic,Unknown,andes,Cactus legal; mescaline controlled,another mescaline-rich andean cactus.,visions;clarity,Mescaline as 5-HT2A agonist,,🌵 cactus,maois,heart conditions,20–40 cm fresh cactus,visionary rituals,,nausea,Low,>1 g/kg (rats),false,
brugmansia,,Brugmansia suaveolens,ritual / visionary,Unknown,south america,Unknown,powerful and dangerous deliriant used in south american shamanism. highly toxic and not recommended for casual use.,Hallucinations;delirium;disorientation,"Tropane alkaloids (scopolamine, atropine)",,none,"anticholinergics, cns depressants",all unsupervised use,,historical use in asthma and pain (no modern safe use),,"extreme confusion, memory loss, risk of death",Unknown,Unknown,false,
brugmansia-suaveolens,,Brugmansia suaveolens,deliriant / tropane alkaloid,Severe / Overwhelming,south america; cultivated ornamentally worldwide,Legal in most countries; some restrictions due to risk,a powerful ornamental tree with large trumpet-shaped flowers. brugmansia is traditionally used in south american shamanism but is highly toxic. its alkaloids cause intense deliriant experiences often indistinguishable from waking reality.,True hallucinations;Amnesia;Delirium;Sedation,"Contains tropane alkaloids: scopolamine, atropine, and hyoscyamine. These are anticholinergic, blocking muscarinic acetylcholine receptors.",,🌸 tropane;⚠️ toxic;🌪 deliriant;🧠 anticholinergic,"highly dangerous with sedatives, stimulants, or other anticholinergics.","never safe recreationally. dangerous for anyone with cardiovascular, neurological, or psychiatric conditions.",,none officially sanctioned. occasionally explored for dream states or initiatory visions in traditional contexts.,,"severe confusion, overheating, dry mouth, mydriasis, hallucinations, inability to distinguish reality, long-term memory gaps.",Extremely toxic. Even a few flower petals can induce hospitalization. Death has occurred from unmeasured ingestion.,"Scopolamine: ~400 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3887309/;The Encyclopedia of Psychoactive Plants – Rätsch;Journal of Ethnopharmacology, 2001"
brunfelsia-grandiflora,,Brunfelsia grandiflora,shamanic / tropane-like,Moderate–Strong,"amazon (peru, ecuador, colombia)",Legal; not scheduled internationally,a powerful and rare plant used in amazonian diets and initiations. sometimes used in conjunction with ayahuasca. it contains alkaloids structurally similar to tropanes but with unique visionary effects.,Altered perception;Hallucinations;Sedation;Purging,"Believed to contain scopoletin, brunfelsamidine, and possibly tropane-like alkaloids. Effects include CNS sedation and GABAergic modulation, with visionary experiences at high doses.",,🌀 dreamwork;⚠️ tropane risk;🌳 ayahuasca dieta,dangerous with deliriants or gabaergic drugs. may interfere with maois or ssris.,"avoid with other cns depressants, anticholinergics, or in pregnancy. not for casual or recreational use.",,"used for energetic cleansing, dream incubation, and emotional healing in vegetalismo traditions. no clinical use.",,"strong purge, nausea, confusion, tremors, and temporary disorientation. possibly neurotoxic at high doses.",Potential neurotoxicity from tropane-like compounds. Improper use can lead to hospitalization.,Not established; presumed low threshold for toxicity,false,"Journal of Ethnopharmacology, 2007;Plants of the Gods – Schultes, Hofmann;Ayahuasca.com: Chiric Sanango Field Reports"
byrsonima-crassifolia,Nance,,none,unknown,central and south america,Unknown,none,mild sedative;calming;tonic,Flavonoid antioxidant and neuroprotective action,Catechins;Quercetin,sedative;folk;antioxidant,none,none,,none,,none,,,false,
caapi,,Banisteriopsis caapi,ritual / visionary,Unknown,amazon basin,Unknown,the vine of the soul used in ayahuasca. contains harmala alkaloids and facilitates dmt absorption in the brew.,MAOI effects;spiritual opening;purging,"Reversible MAO-A inhibition (harmine, harmaline)",,none,all serotonergic substances,"ssris, maois, pregnancy",,"ayahuasca therapy for ptsd, depression",,"nausea, purging, dizziness",Unknown,Unknown,false,
caesalpinia-sepiaria,,Caesalpinia sepiaria,traditional / stimulant,Mild–Moderate,"thailand, india, southeast asia",Legal,"a thorny climbing shrub used in traditional southeast asian medicine. found in certain thai herbal stimulant blends (yaa chud), though its active compounds are poorly characterized.",Stimulation;Increased stamina;Traditional energizing,Poorly studied. Likely contains alkaloids and tannins with mild CNS effects. May act as a peripheral stimulant and astringent.,,🪴 thai herbalism;⚡ mild stimulant;🌿 yaa chud,avoid with strong stimulants or blood pressure medications.,not recommended during pregnancy or with hypertension due to possible stimulant effects.,,"used for fatigue, fever, and vitality in traditional thai and ayurvedic systems. often combined with other herbs.",,"not well documented. possible gi upset, dizziness, or overstimulation in high doses.",Low to moderate. Long-term effects not well studied.,Unknown,false,https://pubmed.ncbi.nlm.nih.gov/17009863/;Thai Traditional Medicine Pharmacopoeia;Herbal Remedies of Southeast Asia – WHO
calamus,,,none,unknown,unknown,Unknown,none,,Contains β-asarone; possible GABAergic and serotonergic effects.,,none,"cns depressants, anticoagulants.","pregnancy, cancer risk, seizures.",,"mental clarity, digestion, mild psychoactivity.",,"nausea, potential carcinogenicity (β-asarone).",,Animal studies show carcinogenicity at high doses.,false,
calea-ternifolia,,Calea ternifolia,oneirogen / bitter tonic,Mild–Moderate,"mexico, central america",Generally legal,calea is a traditional mexican dream herb used by the chontal people to enhance dream clarity and lucidity. often consumed as a tea or smoked before sleep.,Lucid dreaming;Vivid dreams;Mild sedation;Dream recall,Contains calein and germacranolides that may influence GABAergic and cholinergic systems related to REM sleep modulation.,,🌿 dream;😴 sleep;🧘 oneirogen,may interact with cns depressants,avoid in pregnancy and with sedatives,,dream induction and clarity,,"bitterness, mild nausea, vivid dreams",Low to moderate,Not well established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3158962/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology, 1986"
calea-zacatechichi,Dream Herb,Calea ternifolia (zacatechichi),oneirogen,Mild to moderate,"mexico, central america",Legal,"known as the 'dream herb' of the chontal people of mexico, calea is traditionally used to enhance dreams and mental clarity during sleep.",Lucid dreaming;dream recall;hypnagogic imagery,May modulate GABAergic or cholinergic pathways; unclear,Germacranolides,✅ safe;🌙 dream;🧘 calm,"avoid sedatives, alcohol","pregnancy, sedative use",,"sleep induction, dream work",,"bitterness, mild nausea",Low,Not known,false,
california-poppy,,Unknown,dissociative / sedative,Mild,🌎 unknown / global,Legal / Unregulated,california's state flower containing non-addictive sedative alkaloids.,Gentle sedative;dreamlike calm,Mild GABAergic activity and opioid receptor affinity (non-narcotic).,,☕ brewable;✅ safe;🌀 dissociation;🧘 sedation,may amplify effects of benzodiazepines and alcohol.,not for use in pregnancy or with other cns depressants.,,"used for anxiety, insomnia, and pain management.",1,"drowsiness, vivid dreams, dizziness.",Low toxicity; non-habit-forming.,No known LD50 in humans; safe at standard doses.,false,
calliandra-angustifolia,,Calliandra angustifolia,nervine / shamanic,Mild,"amazon basin: peru, brazil, ecuador",Legal,"bobinsana is a shrubby tree native to the amazon basin, used in traditional dieta practices for emotional healing and dreamwork. often referred to as a 'plant teacher' with gentle, uplifting effects.",Heart-opening;Dreamlike calm;Energetic cleansing,Contains flavonoids and alkaloids that may have GABAergic and adaptogenic effects. Precise pharmacology is not well studied.,,🌿 empathogen;🧘 dream herb;🌱 dieta,"mild theoretical risk with sedatives or maois, especially in ceremonial contexts.",avoid during pregnancy. caution with antidepressants or other cns modulators.,,"used for grief, heartbreak, fatigue, and as an energetic tonic. some modern practitioners use it as a mild antidepressant or empathogen.",,generally well tolerated. some report increased emotional sensitivity or lightheadedness.,Very low. Considered safe in traditional doses.,Not established,false,"https://rainforest-database.org/plants/bobinsana;Journal of Amazonian Ethnobotany, 2009;Plants of the Gods – Schultes & Rätsch"
camellia-japonica,,Camellia japonica,medicinal / cosmetic,unknown,"japan, korea, china; ornamental worldwide",Legal,"a flowering plant native to east asia, best known for its oil-rich seeds. unlike camellia sinensis, it is not caffeinated, but valued for its emollient and skin-protective properties.",Skin soothing;Antioxidant;Mild anti-inflammatory,"Rich in oleic acid, tocopherols (Vitamin E), and polyphenols. These compounds hydrate the skin and reduce oxidative damage.",,💧 emollient;🌸 skincare;🌿 traditional beauty,none significant reported.,topical only; not suitable for injection or open wounds. monitor for contact dermatitis.,,"used in traditional korean and japanese medicine for dry skin, burns, hair conditioning, and inflammation.",,rare. may cause mild allergic skin reactions in sensitive individuals.,Very low. Used widely in cosmetics and culinary oils.,Not established; similar to olive oil in safety,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3586833/;Journal of Ethnopharmacology, 2014;Asian Botanical Dermatology Manual"
Unknown,,Camellia sinensis,stimulant / nootropic,Mild,"china, india, worldwide cultivation",Legal,source of green and black tea; contains caffeine and theanine for balanced stimulation.,Alertness;relaxed focus,Caffeine antagonizes adenosine receptors; L-theanine modulates glutamate and GABA.,Caffeine,☕ caffeine;🍵 tea,potentiates other stimulants; may reduce sedative efficacy,"heart conditions, pregnancy (high amounts).",,"improved cognition, antioxidant, metabolism boost.",,"jitters, insomnia, digestive upset",High intake can cause jitteriness or insomnia.,Caffeine LD50 ~190 mg/kg (rats),false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086330/;Tea and Health: Springer, 2013;Theanine and Mental Performance – Nutritional Neuroscience"
campsiandra-angustifolia,,Campsiandra angustifolia,shamanic / tonic / adaptogen,Mild–Moderate,"amazon basin (peru, brazil, colombia)",Legal,"a powerful amazonian tree used as a general tonic and aphrodisiac. often added to ayahuasca brews for stamina, libido, and protection. bark decoctions are the primary preparation.",Anti-inflammatory;Aphrodisiac;Tonic;Mild stimulation,"Contains triterpenes, alkaloids, and flavonoids with antioxidant and potential hormonal activity. Exact pharmacodynamics not fully mapped.",,🌳 tonic tree;💪 aphrodisiac;🌿 ayahuasca admixture,theoretical interactions with hormone therapies or strong anti-inflammatories.,caution in pregnancy or with autoimmune disorders. limited data on immunomodulatory effects.,,"used for arthritis, sexual debility, digestive issues, fatigue, and spiritual protection.",,mild nausea or overstimulation possible with high doses. rare allergic reactions.,Low in traditional dosing. Bark is the safest part; seeds unstudied.,Not established,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6603680/;Plants of the Gods – Rätsch;Rainforest Database: Chuchuhuasi Monograph
cananga-odorata,,Cananga odorata,aromatic / relaxant,Mild–Moderate,"philippines, indonesia, polynesia",Legal,"a tropical flowering tree native to southeast asia. its flowers yield ylang-ylang essential oil, a sweet floral extract used in perfumery and aromatherapy to reduce stress and promote sensuality.",Euphoria;Relaxation;Aphrodisiac;Mild sedation,"Contains linalool, germacrene, and benzyl acetate, which act on GABA and dopaminergic pathways to induce calming and mood-lifting effects.",,🌺 aromatherapy;💆 relaxant;💖 aphrodisiac,"none significant, but may mildly potentiate sedatives.",avoid internal use. dilute before skin application. use with caution in pregnancy.,,"used to ease anxiety, insomnia, high blood pressure, and as a romantic enhancer in aromatherapy.",,may cause headaches or nausea in high concentrations. possible skin irritation if undiluted.,Low. Generally regarded as safe (GRAS) when used correctly.,Unknown (topical only),false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6979302/;Essential Oils in Therapy – Springer 2021;Journal of Natural Products, 2006"
cananga-odorata,,Cananga odorata,aromatic / relaxant,Mild–Moderate,"philippines, indonesia, polynesia",Legal,"a tropical flowering tree native to southeast asia. its flowers yield ylang-ylang essential oil, a sweet floral extract used in perfumery and aromatherapy to reduce stress and promote sensuality.",Euphoria;Relaxation;Aphrodisiac;Mild sedation,"Contains linalool, germacrene, and benzyl acetate, which act on GABA and dopaminergic pathways to induce calming and mood-lifting effects.",,🌺 aromatherapy;💆 relaxant;💖 aphrodisiac,"none significant, but may mildly potentiate sedatives.",avoid internal use. dilute before skin application. use with caution in pregnancy.,,"used to ease anxiety, insomnia, high blood pressure, and as a romantic enhancer in aromatherapy.",,may cause headaches or nausea in high concentrations. possible skin irritation if undiluted.,Low. Generally regarded as safe (GRAS) when used correctly.,Unknown (topical only),false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6979302/;Essential Oils in Therapy – Springer 2021;Journal of Natural Products, 2006"
Unknown,,Cannabis sativa,psychedelic / relaxant,Variable,cultivated worldwide,Varies by jurisdiction,unknown,euphoria;relaxation;altered perception,THC acts on cannabinoid receptors CB1 and CB2,THC;CBD,cbd;thc;marijuana,may interact with cns depressants and alcohol,"psychosis, heart conditions, pregnancy",,"pain relief, appetite stimulation, anxiety reduction",,"dry mouth, short-term memory impairment, anxiety in high doses",Low physiological toxicity,>1 g/kg THC in animals,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7747003/;Cannabis and Cannabinoid Research, 2021;The Health Effects of Cannabis and Cannabinoids – National Academies"
capsicum-annuum,,Capsicum annuum,stimulant / analgesic,Mild to Intense (Scoville Heat Units dependent),"mexico, central america; cultivated globally",Legal worldwide,"the source of most culinary chili peppers, c. annuum is valued for both its heat and its therapeutic effects. capsaicin, the active compound, causes a burning sensation and triggers endorphin release.",Stimulation;Endorphin release;Heat sensation;Pain modulation,"Capsaicin binds to TRPV1 receptors on sensory neurons, causing depolarization, heat/pain sensation, and eventual desensitization.",,🌶️ capsaicin;🔥 stimulant;🧴 analgesic,"may enhance blood-thinners, irritate gi if combined with nsaids.","avoid on open wounds, in ulcers, or in sensitive individuals. caution with anticoagulants.",,"topical creams for arthritis and nerve pain. internally used to boost metabolism, circulation, and digestion.",,"burning, irritation (skin or gi), sweating, increased heart rate. can cause nausea if overconsumed.",Low. Overconsumption can cause GI distress. Pure capsaicin is toxic at high doses.,"Capsaicin: ~47.2 mg/kg (mice, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4477151/;Journal of Pain Research, 2014;Capsaicin Handbook – CRC Press"
carica-papaya,,Carica papaya,digestive / antiparasitic,Mild,tropics worldwide,Legal,"while best known for its fruit, papaya’s leaves and seeds are used medicinally for digestion, dengue fever recovery, and as a vermifuge. the seeds have a sharp flavor and act as mild natural dewormers.",Digestive support;Antiparasitic;Anti-inflammatory;Immune modulation,"Papain (a proteolytic enzyme) aids digestion and reduces inflammation. Seeds contain benzyl isothiocyanate, which may have antiparasitic and antimicrobial effects.",,🍃 digestive;🦠 antiparasitic;🍈 enzymatic,caution with anticoagulants (may increase bleeding risk).,avoid in pregnancy (uterine stimulant). papain may interfere with blood thinners.,,"used for bloating, intestinal worms, liver detox, and increasing platelet count in dengue fever.",,possible nausea or allergic reactions. papain can irritate mucosa in excess. seeds are mildly toxic at high doses.,"Low to moderate. Seeds can cause toxicity in large doses (nausea, CNS symptoms in animals).","Papaya seed extract LD50: ~1500 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204662/;Journal of Medicinal Plants, 2015;Ethnobotany of Tropical Plants – CRC Press"
gelsemium-sempervirens,,Gelsemium sempervirens,other,Unknown,southern usa,Ornamental; toxic,fragrant vine with toxic yet calming alkaloids.,relaxation;sedation,Gelsemine acts on glycine and nicotinic receptors,,⚠️ caution,"sedatives, muscle relaxants","pregnancy, heart issues",5–10 drops tincture,folk remedy for anxiety,,respiratory depression in overdose,High,>10 mg/kg (mice),false,
casimiroa-edulis,White Sapote,Casimiroa edulis,ethnobotanical,unknown,central america,Unknown,the fruit of the white sapote tree is used as a sedative in traditional mexican herbal medicine.,sedative;sleep aid,Possible GABAergic activity,Zapotin,sedative;fruit;folk medicine,none,none,,none,,none,,,false,
catha-edulis,,Catha edulis,stimulant / euphoric,Moderate,"yemen, ethiopia, kenya, somalia","Illegal in many countries (Schedule I in US, Class C in UK); legal in some East African nations","khat is a flowering shrub native to east africa and the arabian peninsula. chewed for centuries in social rituals, it contains cathinone, a natural amphetamine-like stimulant with short-lived euphoric effects.",Euphoria;Increased alertness;Sociability;Appetite suppression,"Cathinone is a monoamine-releasing agent, increasing dopamine, norepinephrine, and serotonin. Structurally related to amphetamine.",,🌿 euphoric;⚡ cathinone;🚫 legal risk;🧠 stimulant,"dangerous with maois, stimulants, or antidepressants. increases blood pressure and heart rate.","avoid in heart disease, high blood pressure, psychiatric conditions, or during pregnancy.",,"traditionally used to combat fatigue, hunger, and for social interaction. some studies explore antidepressant effects.",,"insomnia, dry mouth, hypertension, anxiety, irritability, rebound fatigue. chronic use may lead to dependence.","Moderate. Chronic use linked to cardiovascular, dental, and GI issues.","Cathinone est. ~50–100 mg/kg (mice, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4473630/;Journal of Ethnopharmacology, 2010;UNODC Khat Report, 2006"
erythroxylum-catuaba,,Erythroxylum catuaba,aphrodisiac / nootropic,Mild–Moderate,"brazil, amazon, south america",Legal,"a traditional brazilian aphrodisiac made from the bark of various erythroxylum species (mainly e. catuaba). catuaba is used to boost libido, mental clarity, and mood — both in traditional medicine and modern supplements.",Stimulation;Enhanced libido;Mild euphoria;Cognitive enhancement,"Contains alkaloids, flavonoids, and possibly tropane-related compounds. Stimulates central nervous system and may increase nitric oxide availability.",Catuabine,🔥 aphrodisiac;🧠 nootropic;🌿 amazon tonic,may mildly potentiate stimulants or maois. interacts with dopaminergic drugs.,caution with anxiety disorders or insomnia. avoid in pregnancy due to insufficient data.,,"used traditionally for sexual debility, fatigue, poor memory, and stress. often paired with muira puama.",,rare. may cause mild overstimulation or insomnia in sensitive individuals.,Low. Considered very safe in traditional dosing.,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5937011/;Brazilian Journal of Pharmacognosy, 2005;The Healing Power of Rainforest Herbs – Leslie Taylor"
cbd,,,none,unknown,unknown,Unknown,none,,Interacts with endocannabinoid system (CB1/CB2); anti-inflammatory and anxiolytic.,,none,"antiepileptics, sedatives, blood thinners.","pregnancy, liver conditions.",,"anxiety, epilepsy, pain relief, inflammation.",,"fatigue, diarrhea, appetite changes.",,"CBD LD50 >200 mg/kg (oral, rats).",false,
celastrus-paniculatus,Intellect Tree,Celastrus paniculatus,empathogen / euphoriant,Mild,"india, sri lanka, southeast asia",Legal,"often called the 'intellect tree', this ayurvedic plant is used to support memory, learning, and vivid dreams. contains sesquiterpenes that may stimulate cholinergic activity.",Cognitive clarity;memory enhancement;dream vividness,Cholinergic modulation; antioxidant and neuroprotective effects,Celastrine;Paniculatin,✅ safe;🌿 herbal;🧠 nootropic,none well documented,pregnancy,,"memory support, neuroprotection, dream recall",,headache or stimulation at high doses,Low,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3612440/;Journal of Ayurveda and Integrative Medicine, 2011;Indian Materia Medica – Nadkarni"
celastrus-paniculatus,Intellect Tree,Celastrus paniculatus,empathogen / euphoriant,Mild,"india, sri lanka, southeast asia",Legal,"often called the 'intellect tree', this ayurvedic plant is used to support memory, learning, and vivid dreams. contains sesquiterpenes that may stimulate cholinergic activity.",Cognitive clarity;memory enhancement;dream vividness,Cholinergic modulation; antioxidant and neuroprotective effects,Celastrine;Paniculatin,✅ safe;🌿 herbal;🧠 nootropic,none well documented,pregnancy,,"memory support, neuroprotection, dream recall",,headache or stimulation at high doses,Low,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3612440/;Journal of Ayurveda and Integrative Medicine, 2011;Indian Materia Medica – Nadkarni"
celastrus-paniculatus-intellect-tree,,Unknown,other,Mild,🌎 unknown / global,Legal / Unregulated,indian vine whose oil is consumed to sharpen memory and dream vividly.,Lucid dreaming;cognitive enhancer,Unknown,,✅ safe;🧠 cognitive,not well documented,not well documented,,not well documented,1,not well documented,Unknown,Unknown,false,
centella-asiatica,,Centella asiatica,cognitive,Mild,asia,Legal,"known as gotu kola, used in ayurvedic medicine to aid cognition.",Mental clarity;calm focus,Triterpenoids may modulate GABA and promote neurogenesis,,✅ safe;🌿 leaf;🧠 cognitive,may potentiate sedatives,"pregnancy, liver issues",,"memory enhancement, anxiety relief",,rare headache or nausea,Low,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814248/;Journal of Ethnopharmacology, 2013;Ayurvedic Pharmacopoeia of India"
cestrum-nocturnum,,Cestrum nocturnum,aromatic / toxic,Mild–Moderate (olfactory),"india, southeast asia, caribbean, central america",Legal as ornamental; not for ingestion,a strongly fragrant flowering shrub known for its intoxicating nighttime aroma. traditionally used in folk remedies for anxiety and respiratory issues — but contains toxic alkaloids and should not be ingested.,Sedation;Headache (aroma);Potential hallucinations (in folklore),"Contains solanine-like glycoalkaloids and tropane-related compounds. The fragrance may act as a mild CNS modulator, but oral use is toxic.",,🌙 aromatic;⚠️ toxic;🌸 night flower;🛏️ sedative folklore,none studied — avoid combining with sedatives or anticholinergics.,"do not ingest. avoid for children, pets, or in enclosed spaces with strong aroma.",,rarely used in formal medicine. aromatherapy use for insomnia and nervous agitation. some regional folklore suggests use in dream induction.,,"headache, nausea, dizziness from prolonged inhalation. ingestion may cause gi upset, delirium, or paralysis.",Moderate to high. Toxic alkaloids accumulate in leaves and berries.,"Solanine (analogue): ~590 mg/kg (mice, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3136076/;Toxic Plants of North America – Burrows & Tyrl;Flora of the Caribbean – Botanical Review, 2008"
chacruna,,Psychotria viridis,ritual / visionary,Strong,"amazon basin (peru, brazil, colombia)",DMT is controlled in most countries,"a key component of traditional ayahuasca brews, chacruna contains dmt and is often combined with maois like banisteriopsis caapi to make it orally active.",Visionary states;spiritual insight;hallucinations,DMT – 5-HT2A receptor agonist; requires MAOI to be active orally,,⚠️ caution;🧠 vision;🧪 dmt,dangerous with antidepressants or stimulants,"mental health disorders, ssris, maois",,"spiritual healing, emotional release (as part of ayahuasca)",,"intense visuals, vomiting, nausea","Low physical toxicity, high psychological risk",Not established in humans,false,
psychotria-viridis,,Psychotria viridis,entheogen / dmt source / shamanic,Strong,"amazon basin (peru, brazil, colombia)",Restricted in many countries due to DMT,"a tropical shrub from the amazon traditionally used in ayahuasca brews. its leaves contain high concentrations of n,n-dmt, making it a primary admixture plant in visionary ceremonies.",Psychedelic visions;Emotional processing;Spiritual insight;Sensory enhancement,"Contains N,N-DMT, a potent serotonergic psychedelic that acts as a 5-HT2A receptor agonist. Requires MAOI (such as harmala alkaloids) to be orally active.",,🌀 dmt source;🌿 ayahuasca;🌌 visionary;⚠️ maoi required,dangerous with serotonergic drugs. do not combine with other psychedelics unless experienced.,"avoid with ssris, maois, antipsychotics, or in those with severe psychiatric conditions.",,"used in traditional amazonian healing for soul retrieval, trauma, depression, and spiritual communion. western research suggests benefit in mental health and addiction therapy.",,"nausea, vomiting (purging), anxiety, dissociation. can be intense or destabilizing in unprepared individuals.",Low at standard doses. Risk increases with improper preparation or interaction.,"~110 mg/kg (DMT, rat IP)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7343898/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology, 2010"
diplopterys-cabrerana,,Diplopterys cabrerana,ritual / visionary,Unknown,amazon,DMT restricted in most regions,ayahuasca admixture leaf high in tryptamines.,visions;introspection,Leaves contain DMT and 5-MeO-DMT acting on serotonin receptors,,⚠️ caution;🧪 dmt,"maois, ssris",mental health disorders,25–50 g leaves,shamanic healing,,"nausea, intense visions",Low physiological,Not established,false,
chiric-sanango,,Unknown,dissociative / sedative,High,🌎 unknown / global,Legal / Unregulated,amazonian shrub added to ayahuasca for introspection and cleansing.,Shadow work;spiritual clearing,"Contains β-carboline alkaloids (harmine, harmaline) and coumarins (scopoletin) that may inhibit monoamine oxidase and modulate serotonergic/cholinergic systems [0, 11, 0, 1].",,☕ brewable;✅ safe;🌀 dissociation,other serotonergic or cholinergic agents.,"pregnancy, cardiovascular conditions.",,"potentiates ayahuasca, used in amazonian rituals for introspection and mild hallucinations [0, 4].",1,"dizziness, nausea, muscle tremors, delirium at high doses [0, 11].",Toxic in high doses; caution advised.,LD50 not established; considered mildly toxic in large doses due to cholinergic effects.,false,
cichorium-intybus,,Cichorium intybus,digestive / prebiotic / tonic,Mild,"europe, asia, north america",Legal worldwide,"a bitter blue-flowered herb widely used as a coffee substitute, digestive tonic, and prebiotic. its root is rich in inulin, supporting gut health and liver detoxification.",Liver support;Mild stimulant (roasted);Prebiotic;Digestive aid,"Inulin acts as a prebiotic fiber, feeding gut flora. Bitter compounds stimulate bile secretion and improve digestion. Roasted root contains lactones that mildly stimulate the CNS.",,🌿 prebiotic;☕ coffee alternative;💩 gut health,may alter absorption of some drugs by modulating gut transit or flora.,"avoid in gallstones, bile duct obstruction, or fructan intolerance.",,"used for sluggish digestion, fatty liver, gallbladder issues, and gut flora restoration. roasted root used to reduce caffeine intake.",,"may cause gas, bloating, or diarrhea if inulin dose is too high. bitter taste may cause nausea.",Very low. Widely used as food and medicine.,"Inulin: >10 g/kg (oral, rats)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893434/;Journal of Functional Foods, 2015;Herbal Medicine Monographs – WHO"
cissampelos-pareira,Velvetleaf,Cissampelos pareira,ayurvedic / antispasmodic / antimalarial,Mild–Moderate,"india, south america, southeast asia",Legal,"a climbing herb used in ayurveda and traditional amazonian medicine. often called ‘laghu patha’ in sanskrit, it is prized for menstrual support, malaria treatment, and as an adjunct to ayahuasca.",Uterine tonic;Muscle relaxant;Antimalarial;Mild sedative,"Contains alkaloids like pareirine and cissamine. These modulate smooth muscle tone, and may exert anti-inflammatory, uterotonic, and antimicrobial effects.",Pareirine;Cissamine,🌿 ayurvedic;🌙 feminine vine;🧪 antimalarial;🩸 menstrual tonic,potential interactions with antimalarials or muscle relaxants. may mildly lower blood pressure.,avoid during early pregnancy due to uterine effects. use caution with blood pressure medications.,,"used for menstrual cramps, utis, inflammation, diarrhea, and malaria. in south america, used spiritually as a ‘feminine vine’ complementary to banisteriopsis caapi.",,"well tolerated in moderate doses. large doses may cause dizziness, nausea, or mild hypotension.",Low to moderate depending on alkaloid concentration.,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3783799/;Journal of Ethnopharmacology, 2011;Plants of the Gods – Rätsch"
Unknown,,Claviceps purpurea,ergolines / toxic,Strong,worldwide on cereal grains,Controlled in many countries,unknown,vasoconstriction;hallucinations;numbness,Produces ergot alkaloids acting on serotonin and adrenergic receptors,Ergotamine,ergot;fungus;vasoconstrictor,potentiates triptans and other vasoconstrictors,"pregnancy, vascular disease",,historically used to induce labor and treat migraines,,"nausea, convulsions, gangrene in high doses",High; risk of ergotism,~5 mg/kg lysergic acid amide (mouse),false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2765184/;Ergot and Ergotism – Medical Mycology Textbook;The Road to Eleusis – Hoffman, Wasson, Ruck"
